key,name,description,operationCounter,opWctr,plannedWork,actualWork,remainingWork,operation,operationDesc,wctrDesc,wctrDiscipline,systemStatusCode,systemStatusDesc,userStatusCode,maintenanceOrder_externalId,mainAsset_externalId,sourceId,source,startTime,endTime
OP-001001-010,Compressor Shutdown Procedure,Controlled shutdown and isolation of 1st stage,0010,MECH-23,8,8,0,0010,Controlled shutdown and lockout,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001001,23-KA-9101,OP-001001-010,cfihos_test,2024-06-01T07:30:00,2024-06-01T15:30:00
OP-001001-020,Compressor Bearing Inspection,Inspect and measure journal bearings,0020,MECH-23,24,22,0,0020,Journal bearing inspection and measurement,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001001,23-KA-9101,OP-001001-020,cfihos_test,2024-06-02T07:00:00,2024-06-03T14:00:00
OP-001001-030,Compressor Alignment Check,Laser alignment check coupling,0030,MECH-23,16,14,0,0030,Coupling alignment verification,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001001,23-KA-9101,OP-001001-030,cfihos_test,2024-06-03T07:00:00,2024-06-04T10:00:00
OP-001002-010,Pump Disassembly,Disassemble pump and extract bearing,0010,MECH-23,16,16,0,0010,Pump disassembly for bearing extraction,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001002,23-PA-9201A,OP-001002-010,cfihos_test,2024-04-15T08:00:00,2024-04-16T16:00:00
OP-001002-020,Bearing Replacement,Replace bearing and reassemble,0020,MECH-23,24,22,0,0020,Install new bearing and reassemble pump,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001002,23-PA-9201A,OP-001002-020,cfihos_test,2024-04-17T07:00:00,2024-04-18T14:30:00
OP-001003-010,ESDV Stroke Test,Full stroke test of ESDV,0010,AUTO-23,8,6,0,0010,Full stroke test and timing verification,Automation Workshop PH,Automation,CLSD,Completed,,WO-001003,23-XV-92501,OP-001003-010,cfihos_test,2024-06-25T07:15:00,2024-06-25T14:30:00
OP-001004-010,Vibration Data Collection,Collect vibration data all bearing positions,0010,CMON-23,8,7,0,0010,Vibration data collection and analysis,Condition Monitoring PH,Condition Monitoring,CLSD,Completed,,WO-001004,23-GT-9401,OP-001004-010,cfihos_test,2024-08-10T08:00:00,2024-08-10T16:00:00
OP-001005-010,Tube Bundle Removal,Remove and clean tube bundle,0010,MECH-23,24,0,24,0010,Remove tube bundle for cleaning,Mechanical Workshop PH,Mechanical,REL,Released,,WO-001005,23-EA-9501,OP-001005-010,cfihos_test,,
OP-001005-020,Tube Bundle Reinstall,Reinstall cleaned tube bundle,0020,MECH-23,16,0,16,0020,Reinstall tube bundle and pressure test,Mechanical Workshop PH,Mechanical,REL,Released,,WO-001005,23-EA-9501,OP-001005-020,cfihos_test,,
OP-001006-010,Pipeline Pig Launch,Launch inspection pig,0010,PIPE-23,40,0,40,0010,Pig launcher preparation and pig launch,Pipeline Workshop,Pipeline,REL,Released,,WO-001006,23-L-92701,OP-001006-010,cfihos_test,,
OP-001006-020,Pipeline Pig Receive and Report,Receive pig and analyze data,0020,PIPE-23,40,0,40,0020,Pig reception and inspection data analysis,Pipeline Workshop,Pipeline,REL,Released,,WO-001006,23-L-92701,OP-001006-020,cfihos_test,,
OP-001007-010,PT Calibration,Calibrate pressure transmitters,0010,INST-23,16,14,0,0010,Calibrate and verify pressure transmitters,Instrument Workshop PH,Instrument,CLSD,Completed,,WO-001007,23-PT-92501,OP-001007-010,cfihos_test,2024-07-20T07:30:00,2024-07-21T12:00:00
OP-001009-010,ROV Inspection,ROV visual inspection of SCM,0010,SUB-48,80,0,80,0010,ROV visual inspection subsea control module,Subsea Workshop,Subsea,REL,Released,,WO-001009,48-SU-8501,OP-001009-010,cfihos_test,,
OP-001010-010,PSV Removal,Remove PSV from line,0010,MECH-23,8,8,0,0010,Remove PSV from process line,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001010,23-PSV-92550,OP-001010-010,cfihos_test,2024-05-20T08:00:00,2024-05-20T16:00:00
OP-001010-020,PSV Test and Reinstall,Workshop test and reinstallation,0020,MECH-23,16,14,0,0020,Workshop pop test and reinstall PSV,Mechanical Workshop PH,Mechanical,CLSD,Completed,,WO-001010,23-PSV-92550,OP-001010-020,cfihos_test,2024-05-21T07:00:00,2024-05-21T16:00:00
