key,name,description,order,routingNo,dueDate,mainOrder,planningPlant,maintPlant,plannerGroup,maintActivityType,typeDescription,systemStatusCode,systemStatusDesc,SPNPriority,scheduledStartDateTime,scheduledFinishDateTime,actualOrderStartDateTime,actualOrderFinishDateTime,createdDateTime,totalPlannedWork,totalActualWork,remainingWork,mainAsset_externalId,sourceId,source,startTime,endTime
WO-001001,1st Stage Compressor PM,Planned maintenance 1st stage gas compressor,4000001001,001,2024-06-15,,VAL,VAL,PM-01,PM03,Planned Maintenance,CLSD,Completed,3 - Normal,2024-06-01T07:00:00,2024-06-05T16:00:00,2024-06-01T07:30:00,2024-06-04T15:45:00,2024-03-15T10:00:00,80,76,0,23-KA-9101,WO-001001,cfihos_test,2024-06-01T07:30:00,2024-06-04T15:45:00
WO-001002,Seawater Pump Bearing Replacement,Corrective maintenance pump A bearing failure,4000001002,001,2024-04-20,,VAL,VAL,PM-01,PM01,Corrective Maintenance,CLSD,Completed,2 - High,2024-04-15T07:00:00,2024-04-19T16:00:00,2024-04-15T08:00:00,2024-04-18T14:30:00,2024-04-10T14:22:00,60,58,0,23-PA-9201A,WO-001002,cfihos_test,2024-04-15T08:00:00,2024-04-18T14:30:00
WO-001003,ESDV Functional Test,Periodic functional test 1st stage suction ESDV,4000001003,001,2024-07-01,,VAL,VAL,PM-01,PM03,Planned Maintenance,CLSD,Completed,2 - High,2024-06-25T07:00:00,2024-06-26T16:00:00,2024-06-25T07:15:00,2024-06-25T14:30:00,2024-05-01T09:00:00,16,12,0,23-XV-92501,WO-001003,cfihos_test,2024-06-25T07:15:00,2024-06-25T14:30:00
WO-001004,Gas Turbine Vibration Analysis,Condition monitoring vibration analysis GT-A,4000001004,001,2024-08-15,,VAL,VAL,PM-03,PM02,Condition Monitoring,CLSD,Completed,3 - Normal,2024-08-10T07:00:00,2024-08-11T16:00:00,2024-08-10T08:00:00,2024-08-10T16:00:00,2024-06-20T11:00:00,16,14,0,23-GT-9401,WO-001004,cfihos_test,2024-08-10T08:00:00,2024-08-10T16:00:00
WO-001005,Heat Exchanger Cleaning,Annual tube bundle cleaning discharge cooler,4000001005,001,2024-09-30,,VAL,VAL,PM-01,PM03,Planned Maintenance,REL,Released,3 - Normal,2024-09-20T07:00:00,2024-09-25T16:00:00,,,2024-07-01T08:00:00,40,0,40,23-EA-9501,WO-001005,cfihos_test,,
WO-001006,Export Pipeline Inspection,Internal pigging and inspection gas export line,4000001006,001,2024-10-31,,VAL,VAL,PM-02,PM04,Inspection,REL,Released,2 - High,2024-10-15T07:00:00,2024-10-25T16:00:00,,,2024-05-15T10:00:00,120,0,120,23-L-92701,WO-001006,cfihos_test,,
WO-001007,Instrument Calibration Batch,Quarterly calibration pressure transmitters,4000001007,001,2024-07-31,,VAL,VAL,PM-01,PM03,Planned Maintenance,CLSD,Completed,4 - Low,2024-07-20T07:00:00,2024-07-22T16:00:00,2024-07-20T07:30:00,2024-07-21T15:00:00,2024-06-01T09:00:00,24,20,0,23-PT-92501,WO-001007,cfihos_test,2024-07-20T07:30:00,2024-07-21T15:00:00
WO-001008,MV Motor Insulation Test,Annual insulation resistance test compressor motor,4000001008,001,2024-08-31,,VAL,VAL,PM-03,PM04,Inspection,CRTD,Created,3 - Normal,2024-08-25T07:00:00,2024-08-26T16:00:00,,,2024-07-15T14:00:00,16,0,16,23-EL-9701,WO-001008,cfihos_test,,
WO-001009,Subsea Control Module Intervention,ROV intervention subsea control module A,4000001009,001,2024-11-30,,VAL,VAL,PM-02,PM05,Subsea Intervention,REL,Released,1 - Emergency,2024-11-01T07:00:00,2024-11-15T16:00:00,,,2024-09-01T08:00:00,200,0,200,48-SU-8501,WO-001009,cfihos_test,,
WO-001010,PSV Recertification,Annual recertification safety relief valve,4000001010,001,2024-05-31,,VAL,VAL,PM-01,PM03,Planned Maintenance,CLSD,Completed,2 - High,2024-05-20T07:00:00,2024-05-22T16:00:00,2024-05-20T08:00:00,2024-05-21T16:00:00,2024-02-15T10:00:00,24,22,0,23-PSV-92550,WO-001010,cfihos_test,2024-05-20T08:00:00,2024-05-21T16:00:00
