key,name,description,model,class,type,code,equipmentClass,standard,standardReference,asset_externalId,sourceId,source
EQ-KA-9101,PH 1st Stage Gas Compressor,Centrifugal gas compressor 1st stage,BCL-507,Compressor,Centrifugal,COMP-001,Rotating Equipment,ISO 10439,ISO 10439:2015,23-KA-9101,EQ-KA-9101,cfihos_test
EQ-KA-9102,PH 2nd Stage Gas Compressor,Centrifugal gas compressor 2nd stage,BCL-507,Compressor,Centrifugal,COMP-002,Rotating Equipment,ISO 10439,ISO 10439:2015,23-KA-9102,EQ-KA-9102,cfihos_test
EQ-PA-9201A,Seawater Lift Pump A,Centrifugal seawater lift pump,MSD-D-8x10x13,Pump,Centrifugal,PUMP-001,Rotating Equipment,API 610,API 610 12th Ed,23-PA-9201A,EQ-PA-9201A,cfihos_test
EQ-VA-9301,1st Stage Suction ESDV,16in emergency shutdown valve,Type F ball valve,Valve,Ball,VALV-001,Piping,API 6D,API 6D,23-XV-92501,EQ-VA-9301,cfihos_test
EQ-GT-9401,Gas Turbine Generator A,GE LM2500 gas turbine generator set,LM2500+G4,Turbine,Gas Turbine,TURB-001,Rotating Equipment,ISO 3977,ISO 3977:2002,23-GT-9401,EQ-GT-9401,cfihos_test
EQ-EA-9501,1st Stage Discharge Cooler,Shell and tube gas cooler after 1st stage,STHE-2400,HeatExchanger,Shell and Tube,HTEX-001,Static Equipment,TEMA,TEMA 10th Ed,23-EA-9501,EQ-EA-9501,cfihos_test
EQ-PT-92501,1st Stage Suction Pressure Transmitter,Pressure transmitter 0-150 barg,Rosemount 3051S,InstrumentEquipment,Pressure Transmitter,INST-001,Instrument,IEC 61511,IEC 61511:2016,23-PT-92501,EQ-PT-92501,cfihos_test
EQ-EL-9701,MV Motor 1st Stage Compressor Drive,11kV squirrel cage induction motor,ACS880-17,ElectricalEquipmentClass,Motor,ELEC-001,Electrical,IEC 60034,IEC 60034-1:2022,23-EL-9701,EQ-EL-9701,cfihos_test
EQ-SU-8501,Subsea Control Module A,Subsea electronic module,SCM-3000,SubseaEquipmentClass,Control Module,SUBS-001,Subsea,API 17F,API 17F 3rd Ed,48-SU-8501,EQ-SU-8501,cfihos_test
EQ-PSV-92550,1st Stage Safety Relief Valve,Pressure safety valve spring loaded,Type 1900,Valve,Safety Relief,VALV-003,Safety,API 526,API 526 7th Ed,23-PSV-92550,EQ-PSV-92550,cfihos_test
